company,employees,city,domain
"Strategic Investment Real Estate",1,"Vancouver",strategicinvestmentrealestate.com
"SiteNews",5,"Abbotsford",readsitenews.com
"Vancouver Startup Week",15,"Vancouver",vanstartupweek.ca
"addy",14,"Vancouver",addyinvest.ca
"Brixwork Real Estate Marketing Inc.",7,"Vancouver",brixwork.com
"Women's Real Estate Network - WREN",5,"Victoria",wren.club
"Sandpiper Group",11,"Vancouver",sandpipergroup.ca
"BOMA BC",14,"Vancouver",boma.bc.ca
"Farms In BC Real Estate Group",8,"Surrey",farmsinbc.com
"Astria Properties",9,"Langley",astriaproperties.com
"Multifamily Real Estate Services",2,"Vancouver",multifamily.ca
"Central City Foundation",6,"Vancouver",centralcityfoundation.ca
"Keltic Development",14,"Vancouver",kelticdevelopment.com
"Sanpra Real Estate Inc.",10,"Victoria",sanpra.ca
"Hamid Khaleghi Personal Real Estate Corporation",1,"Vancouver",hamidkhaleghi.com
"HostGenius",12,"Vancouver",hostgenius.ca
"OFFERLAND",13,"Vancouver",offerland.ca
"Western Investor",6,"Vancouver",westerninvestor.com
"Hovland Barnes",15,"Vancouver",hovlandbarnes.com
"Ballistic Arts",17,"Coquitlam",ballisticarts.com
"RISE Recruiting",1,"Surrey",riserecruiting.ca
"Sonoro Gold Corp. (TSXV: SGO | OTCQB: SMOFF | FRA: 23SP)",8,"Vancouver",sonorogold.com
"Planning Institute of British Columbia (PIBC)",14,"Vancouver",pibc.bc.ca
"Purpose Driven Development",5,"Vancouver",purposedrivenroi.com
"SiteTalent",5,"Vancouver",sitetalent.ca
"Place Real Estate Team - Oakwyn Realty",4,"Vancouver",placerealestate.ca
"Skystreet Real Estate Marketing",7,"Surrey",skystreetrealestate.ca
"StreetText",12,"Kelowna",streettext.com
"VADA Property Management",18,"Burnaby",vadapm.com
"Canadian Northern Mining Corp.",6,"Kelowna",canadiannorthernminingcorp.com
"Ziva Dynamics",6,"Vancouver",zivadynamics.com
"Titan Real Estate",3,"Abbotsford",titanrealestate.com
"EDGAR Development",16,"Vancouver",edgardevelopment.com
"Welbec Properties",11,"Vancouver",welbec.com
"McNeill Nakamoto Recruitment Group",20,"Vancouver",mcnak.com
"LNG Studios",16,"Vancouver",lngstudios.com
"Kingswood Real Estate Management Inc.",3,"Burnaby",kingswood.ca
"District Group",10,"Vancouver",districtgroup.ca
"The Fountainhead Network Coworking & Media Space",7,"Port Moody",thefountainheadnetwork.com
"KAS Recruitment",3,"Vancouver",kasrecruitment.com
"Endless Surf",18,"Richmond",endlesssurf.com
"Derek Leung - Personal Real Estate Corporation",3,"Vancouver",derekleungprec.com
"Uppercase",6,"Vancouver",uppercasehq.netlify.app
"CREW Vancouver",4,"Vancouver",crewvancouver.com
"Paris Group",6,"West Vancouver",mortgagebyparis.ca
"House of Bohn",11,"Vancouver",houseofbohn.com
"Nonni Property Group",13,"Vancouver",nonni.com
"Britton Real Estate Group",2,"Victoria",searchvictoria.ca
"Landcor Data Corporation",12,"New Westminster",landcor.com
"Bucci Developments",19,"Vancouver",bucci.com
"Integrity Real Estate Group",3,"Vancouver",integritygrp.ca
"Real Estate Developers Academy",1,"Vancouver",payitforwardarmy.com
"Lotus Capital Corp.",11,"Vancouver",lotuscapitalcorp.com
"The Molnar Group (Real Estate) Inc.",14,"Vancouver",molnargroup.com
"Realty Studios",6,"Vancouver",realtystudios.ca
"LYF Real Estate Marketing",6,"Vancouver",lyfmarketing.com
